model_id,epoch,loss,,,,,,
2,1,1.3386,,,,,,
2,2,0.0508,,submission,1,,Seed,port
2,3,0.0368,,Model,"""cifar10_resnet20""",,"""69699351""","""9478"""
2,4,0.0341,,Num Epochs,50,,,
2,5,0.0316,,Batch Size,32,,,
2,6,0.0289,,LR,1.00E-03,,,
2,7,0.0267,,Lambda,20,,,
2,8,0.0254,,Portion of data used,7 out of 13,,,
2,9,0.0245,,,,,,
2,10,0.0237,,l2 loss,6.55,,,
2,11,0.0234,,,,,,
2,12,0.0224,,,,,,
2,13,0.0221,,,,,,
2,14,0.022,,,,,,
2,15,0.0211,,,,,,
2,16,0.0211,,,,,,
2,17,0.0203,,,,,,
2,18,0.0199,,,,,,
2,19,0.0196,,,,,,
2,20,0.0194,,,,,,
2,21,0.019,,,,,,
2,22,0.0184,,,,,,
2,23,0.0185,,,,,,
2,24,0.0178,,,,,,
2,25,0.0178,,,,,,
2,26,0.0176,,,,,,
2,27,0.0173,,,,,,
2,28,0.0167,,,,,,
2,29,0.0168,,,,,,
2,30,0.0169,,,,,,
2,31,0.0159,,,,,,
2,32,0.016,,,,,,
2,33,0.0165,,,,,,
2,34,0.0159,,,,,,
2,35,0.0158,,,,,,
2,36,0.0152,,,,,,
2,37,0.0149,,,,,,
2,38,0.015,,,,,,
2,39,0.015,,,,,,
2,40,0.0145,,,,,,
2,41,0.0146,,,,,,
2,42,0.0144,,,,,,
2,43,0.0138,,,,,,
2,44,0.0136,,,,,,
2,45,0.0139,,,,,,
2,46,0.0141,,,,,,
2,47,0.0134,,,,,,
2,48,0.0132,,,,,,
2,49,0.0132,,,,,,
2,50,0.0131,,,,,,
